id,vertices
115,20.000000000000007;17.39999999999997;10.0;20.000000000000007;17.599999999999966;10.0;20.000000000000007;27.599999999999962;10.0;20.000000000000007;27.79999999999996;10.0;20.000000000000007;27.999999999999986;10.0;20.000000000000007;22.599999999999962;11.5;20.000000000000007;17.19999999999996;10.0
116,20.000000000000007;17.19999999999996;10.0;20.000000000000007;22.599999999999962;11.5;-9.999999999999998;22.599999999999962;11.5;-10.000000000000007;17.19999999999996;10.0
117,20.000000000000007;22.599999999999962;11.5;20.000000000000007;27.999999999999986;10.0;-9.999999999999998;27.999999999999986;10.0;-9.999999999999998;22.599999999999962;11.5
121,-10.000000000000007;17.19999999999996;10.0;-9.999999999999998;22.599999999999962;11.5;-9.999999999999998;27.999999999999986;10.0;-10.000000000000002;27.79999999999996;10.0;-10.000000000000002;27.599999999999962;10.0;-10.000000000000007;22.599999999999962;10.0;-10.000000000000002;17.599999999999966;10.0;-10.000000000000002;17.39999999999997;10.0
126,20.000000000000142;-0.20000000000007798;10.000000000000005;20.000000000000142;5.199999999999924;11.500000000000004;-9.999999999999897;5.199999999999924;11.500000000000004;-9.999999999999902;-0.20000000000007798;10.000000000000005
127,20.000000000000142;5.199999999999924;11.500000000000004;20.000000000000142;10.599999999999946;10.000000000000005;-9.999999999999897;10.599999999999946;10.000000000000005;-9.999999999999897;5.199999999999924;11.500000000000004
129,20.000000000000142;-0.20000000000007798;10.000000000000005;20.000000000000078;-2.45449882640969e-14;10.000000000000005;20.000000000000114;0.1999999999999502;10.000000000000005;19.999999999999904;10.19999999999983;10.000000000000005;20.000000000000007;10.399999999999968;10.000000000000005;20.000000000000142;10.599999999999946;10.000000000000005;20.000000000000142;5.199999999999924;11.500000000000004
131,20.000000000000007;10.399999999999968;10.000000000000005;20.000000000000142;10.599999999999946;10.000000000000005;-9.999999999999897;10.599999999999946;10.000000000000005;-9.999999999999961;10.399999999999775;10.000000000000005;1.3283170119393616e-13;10.399999999999878;10.000000000000005;9.999999999999972;10.399999999999853;10.000000000000005
132,10.000000000000004;17.39999999999997;0.0;18.14941826616866;17.39999999999997;0.0;18.14941826616866;17.39999999999997;2.5;19.34941826616866;17.39999999999997;2.5;19.34941826616866;17.39999999999997;0.0;20.000000000000007;17.39999999999997;0.0;20.000000000000007;17.39999999999997;10.0;10.000000000000004;17.39999999999997;10.0;15.391574250545771;17.39999999999997;2.5;16.391574250545773;17.39999999999997;2.5;16.391574250545773;17.39999999999997;1.0;15.391574250545771;17.39999999999997;1.0;11.952856991855684;17.39999999999997;0.9999999999999997;11.952856991855684;17.39999999999997;2.4999999999999996;12.952856991855684;17.39999999999997;2.4999999999999996;12.952856991855684;17.39999999999997;0.9999999999999997;12.952856991855684;17.39999999999997;4.199999999999998;11.952856991855684;17.39999999999997;4.199999999999998;11.952856991855684;17.39999999999997;5.699999999999999;12.952856991855684;17.39999999999997;5.699999999999999;15.391574250545771;17.39999999999997;4.199999999999998;15.391574250545771;17.39999999999997;5.699999999999999;16.391574250545773;17.39999999999997;5.699999999999999;16.391574250545773;17.39999999999997;4.199999999999998;12.952856991855684;17.39999999999997;7.399999999999998;11.952856991855684;17.39999999999997;7.399999999999998;11.952856991855684;17.39999999999997;8.899999999999997;12.952856991855684;17.39999999999997;8.899999999999997;15.391574250545771;17.39999999999997;7.399999999999998;15.391574250545771;17.39999999999997;8.899999999999999;16.391574250545773;17.39999999999997;8.899999999999999;16.391574250545773;17.39999999999997;7.399999999999998
133,16.391574250545773;17.39999999999997;2.5;15.391574250545771;17.39999999999997;2.5;15.391574250545771;17.39999999999997;1.0;16.391574250545773;17.39999999999997;1.0
135,10.000000000000004;0.0;0.0;10.000000000000261;-1.2561258699861355e-13;10.000000000000005;7.507878763135522e-14;-8.229790182667784e-14;10.000000000000005;7.507878763135522e-14;-8.229790182667784e-14;0.0
136,-9.999999999999961;7.219114195322618e-15;10.000000000000005;-9.999999999999961;7.219114195322618e-15;0.0;7.507878763135522e-14;-8.229790182667784e-14;0.0;7.507878763135522e-14;-8.229790182667784e-14;10.000000000000005
137,-9.999999999999961;10.399999999999775;10.000000000000005;-9.999999999999948;10.199999999999884;10.000000000000005;-9.999999999999856;0.19999999999996462;10.000000000000005;-9.999999999999961;7.219114195322618e-15;10.000000000000005;-9.999999999999902;-0.20000000000007798;10.000000000000005;-9.999999999999897;5.199999999999924;11.500000000000004;-9.999999999999897;10.599999999999946;10.000000000000005
